t,x(t)
0,0.
1,0.1902456862381846
2,0.3655489380841153
3,0.5319560385145957
4,0.6946519581897048
5,0.8581808706670804
6,1.026627136185991
7,1.2037643900426342
8,1.393179626570402
9,1.598378112867124
10,1.8228715038949186
11,2.070253822741644
12,2.3442643615303447
13,2.6488407948053054
14,2.9881600599327878
15,3.3666627189490694
16,3.7890615359903363
17,4.260322308100732
18,4.7856087093204565
19,5.370179398276686
20,6.01921558633837
21,6.737556144255185
22,7.529310914879825
23,8.397319799891926
24,9.34241531568443
25,10.362469151577034
26,11.451207431265944
27,12.596830222015186
28,13.780539735462616
29,14.975187733870078
30,16.14438390598538
31,17.242531725160227
32,18.216312513338526
33,19.00803258536183
34,19.56090416758375
35,19.825755152147963
36,19.768014671164742
37,19.37335416390069
38,18.650475772641336
39,17.630201885098185
40,16.36109060107508
41,14.902774626796324
42,13.318676351912355
43,11.669596664702569
44,10.00910072631138
45,8.380953418145301
46,6.81835736229913
47,5.3444907207208825
48,3.9738009946790944
49,2.713625682469519
50,1.5658266386257256
51,0.5282638617232704
52,-0.40396284029614754
53,-1.2375305423161782
54,-1.9801376080382078
55,-2.639947579707307
56,-3.2251937691431274
57,-3.7439069347036904
58,-4.203736768562891
59,-4.611842304858334
60,-4.9748305318498325
61,-5.298733144968583
62,-5.589001676188201
63,-5.85052543105145
64,-6.087651014556026
65,-6.304217638144757
66,-6.503587567213072
67,-6.688679765039704
68,-6.862004722447775
69,-7.025697355371887
70,-7.181548477427407
71,-7.331029952222095
72,-7.4753250971636325
73,-7.615352083228216
74,-7.751786591637104
75,-7.8850826887757846
76,-8.01549225580811
77,-8.143083029936479
78,-8.267756903015908
79,-8.389267738434429
80,-8.507237791015466
81,-8.621177108405007
82,-8.730499960723508
83,-8.834543357735793
84,-8.932587987219428
85,-9.023878575594384
86,-9.107644475088298
87,-9.183121292184223
88,-9.249573619627386
89,-9.306316797434896
90,-9.352737422258175
91,-9.388312879255604
92,-9.412630445132956
93,-9.425403756809576
94,-9.426484163217687
95,-9.415869542733585
96,-9.393709798893866
97,-9.360309979420785
98,-9.31612745122878
99,-9.261763615485942
100,-9.19795367684698
101,-9.125553566235986
102,-9.045524721405046
103,-8.958914854882371
104,-8.866837529461993
105,-8.770452360241574
106,-8.67094521264624
107,-8.569508429622589
108,-8.467322053593403
109,-8.365537434024263
110,-8.265263004090702
111,-8.167551834626195
112,-8.073390505848426
113,-7.983691735187105
114,-7.899289177362271
115,-7.82093412879085
116,-7.749292486159868
117,-7.684945065614991
118,-7.628388348579693
119,-7.580036671396819
120,-7.54022491132338
121,-7.50921160921382
122,-7.487182310532631
123,-7.474252923340991
124,-7.470473050070419
125,-7.47582802610615
126,-7.490242314391406
127,-7.513581854628423
128,-7.545655130190584
129,-7.586212831797451
130,-7.634949315551788
131,-7.6915028949580595
132,-7.755455112181095
133,-7.826328818919017
134,-7.903586361511784
135,-7.986632890000748
136,-8.074811396888547
137,-8.167401556209496
138,-8.263624769158747
139,-8.36264156147479
140,-8.463552452781716
141,-8.5654063606777
142,-8.667202644807599
143,-8.767897063365968
144,-8.866414394768308
145,-8.961656868978203
146,-9.052517880134966
147,-9.137897733279594
148,-9.216720177321603
149,-9.287950355171132
