t,x(t)
0,1.
1,0.9801621359526919
2,0.9606372542858705
3,0.9414089421356295
4,0.9224614107987735
5,0.9037794859167175
6,0.8853485878644809
7,0.867154745195787
8,0.8491845269880081
9,0.8314251033930848
10,0.8138641147715245
11,0.7964898153157162
12,0.7792908823015439
13,0.7622565559359215
14,0.7453765181378303
15,0.7286409169304421
16,0.7120403820162301
17,0.6955659197955008
18,0.6792090287535039
19,0.6629615450636337
20,0.6468157470781599
21,0.6307642692073075
22,0.6148001299290387
23,0.5989166621074695
24,0.5831075933052422
25,0.5673669038292031
26,0.551688988235708
27,0.536068435705978
28,0.5205002413826366
29,0.5049795669107232
30,0.4895019571622674
31,0.4740631115685735
32,0.45865907614418333
33,0.44328603527432975
34,0.42794050255787774
35,0.4126192335024321
36,0.3973190172107956
37,0.38203700281651354
38,0.36677057825136794
39,0.35151714868992245
40,0.3362743940312437
41,0.3210402523099545
42,0.3058126760894792
43,0.290589817399141
44,0.275370093408026
45,0.26015194048162177
46,0.2449339319247989
47,0.22971490094231264
48,0.21449370944920337
49,0.1992693075168073
50,0.1840408886417183
51,0.16880768737933574
52,0.15356898764973392
53,0.13832429612938504
54,0.12307318226258376
55,0.1078152301192869
56,0.09255019492012109
57,0.07727794237440669
58,0.061998341801361524
59,0.046711359843275374
60,0.031417107563098845
61,0.016115707671402073
62,0.0008073245282686492
63,-0.014507731074343746
64,-0.02982911641058696
65,-0.04515647630447761
66,-0.060489340844089974
67,-0.07582717860875333
68,-0.09116945559617327
69,-0.10651556802107368
70,-0.1218648268452292
71,-0.13721653787795324
72,-0.15256997529093372
73,-0.16792432224473158
74,-0.18327874577988748
75,-0.19863240821007208
76,-0.21398439500814523
77,-0.2293337382358336
78,-0.2446794691637522
79,-0.2600206174589934
80,-0.27535615776217376
81,-0.29068499861303243
82,-0.30600604477892607
83,-0.3213182010272116
84,-0.3366203533246628
85,-0.35191131998948433
86,-0.3671899045930021
87,-0.38245491070748033
88,-0.3977051383387719
89,-0.41293934209729094
90,-0.4281562460021131
91,-0.4433545735572689
92,-0.45853304811108675
93,-0.4736903729433066
94,-0.4888252132530775
95,-0.5039362301500778
96,-0.5190220847439858
97,-0.5340814329238817
98,-0.5491128993088547
99,-0.564115097333506
100,-0.5790866404389556
101,-0.594026141419385
